2020-05-21 11:41:07,064 INFO [root] [__init__.py(<module>:7)] - 测试日志是否会打印
2020-05-21 11:41:07,549 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '84c85df2-8350-4506-ade8-247c943c85ab'}
2020-05-21 11:41:07,772 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-05-21 11:41:07,865 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-05-21 11:41:08,953 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'f7414979-c08d-4993-b9e6-f3a791057424'}
2020-05-21 11:41:09,054 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-05-21 11:41:09,133 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-05-21 11:41:09,225 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': '51f6ecc2-01ca-4bd9-9167-377503499926'}
2020-05-21 11:41:09,306 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-05-21 11:41:09,391 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-05-21 11:41:09,474 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-05-21 11:41:09,567 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 20001, 'message': '用户名或密码错误', 'data': None}
2020-05-21 11:41:09,644 INFO [root] [test_ihrm_login_parameterized.py(test_login:23)] - 登录的结果为：{'success': False, 'code': 99999, 'message': '抱歉，系统繁忙，请稍后重试！', 'data': None}
2020-05-21 11:41:09,729 INFO [root] [test_ihrm_employee_parameterized.py(test_01_login:21)] - 登录的结果为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': 'ce96e49e-92fc-4e06-b91a-f925718162d1'}
2020-05-21 11:41:09,813 INFO [root] [test_ihrm_employee_parameterized.py(test_02_add_emp:35)] - 添加员工的结果是：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1263313936388718592'}}
2020-05-21 11:41:09,910 INFO [root] [test_ihrm_employee_parameterized.py(test_03_query_emp:44)] - 查询员工的结果是：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1263313936388718592', 'mobile': '17522345699', 'username': '小偷家族1111', 'password': 'dfa09c65e2b58a76f651a9427f571ca8', 'enableState': 1, 'createTime': None, 'companyId': '1', 'companyName': '传智播客', 'departmentId': '1063678149528784896', 'timeOfEntry': '2020-05-05T00:00:00.000+0000', 'formOfEmployment': 1, 'workNumber': '1234123', 'formOfManagement': None, 'workingCity': None, 'correctionTime': '2020-05-17T16:00:00.000+0000', 'inServiceStatus': None, 'departmentName': '测试部', 'roleIds': [], 'staffPhoto': None}}
2020-05-21 11:41:10,011 INFO [root] [test_ihrm_employee_parameterized.py(test_04_mpdify_emp:50)] - 修改员工的结果为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': {'id': '1263313936388718592'}}
2020-05-21 11:41:10,090 INFO [root] [test_ihrm_employee_parameterized.py(test_05_delete_emp:56)] - 删除员工的结果为：{'success': True, 'code': 10000, 'message': '操作成功！', 'data': None}
